nohup: ignoring input
Model Params: 63.91M
Trainable Params: 63.912M
Model Params: 63.91M
Trainable Params: 63.912M
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 90.89it/s]
Loaded reward model from ../internlm2-1_8b-reward
past_key_values should not be None in from_legacy_cache()
Epoch:[1/1](490/39988), Reward:-0.3247, KL:0.0014, GrpStd:0.2974, AdvStd:1.4137, Loss:-0.0853, AvgLen:33.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](500/39988), Reward:-1.2345, KL:0.0014, GrpStd:0.0344, AdvStd:1.4101, Loss:0.0888, AvgLen:120.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](510/39988), Reward:-1.8282, KL:0.0015, GrpStd:0.5839, AdvStd:1.4140, Loss:-0.0381, AvgLen:252.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](520/39988), Reward:-0.5403, KL:0.0133, GrpStd:0.3005, AdvStd:1.4137, Loss:0.0766, AvgLen:60.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](530/39988), Reward:-0.7124, KL:-0.0117, GrpStd:0.0464, AdvStd:1.4112, Loss:0.0040, AvgLen:20.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](540/39988), Reward:-0.4500, KL:-0.0017, GrpStd:0.3225, AdvStd:1.4138, Loss:-0.0496, AvgLen:88.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](550/39988), Reward:-1.6084, KL:-0.0021, GrpStd:0.4111, AdvStd:1.4139, Loss:-0.0611, AvgLen:125.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](560/39988), Reward:-1.2437, KL:-0.0092, GrpStd:0.4165, AdvStd:1.4139, Loss:-0.1203, AvgLen:18.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](570/39988), Reward:0.2136, KL:-0.0029, GrpStd:0.9724, AdvStd:1.4141, Loss:-0.1628, AvgLen:77.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](580/39988), Reward:-1.3692, KL:-0.0006, GrpStd:0.1407, AdvStd:1.4132, Loss:0.0669, AvgLen:116.00, AdvMean:0.0000, LR:0.00000030
