nohup: ignoring input
[Scorer] 模型加载完成: 63.9M params, device=cuda:0
/root/trainer/../scripts/data_quality_scorer.py:171: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(dtype=self.dtype):
[Score] 203200/1270238 (16.0%) speed=483 samples/s, ETA=2208s
[Score] 204800/1270238 (16.1%) speed=485 samples/s, ETA=2197s
[Score] 206400/1270238 (16.2%) speed=487 samples/s, ETA=2186s
[Score] 208000/1270238 (16.4%) speed=488 samples/s, ETA=2175s
[Score] 209600/1270238 (16.5%) speed=490 samples/s, ETA=2165s
[Score] 211200/1270238 (16.6%) speed=492 samples/s, ETA=2154s
[Score] 212800/1270238 (16.8%) speed=493 samples/s, ETA=2144s
[Score] 214400/1270238 (16.9%) speed=495 samples/s, ETA=2134s
[Score] 216000/1270238 (17.0%) speed=496 samples/s, ETA=2124s
[Score] 217600/1270238 (17.1%) speed=498 samples/s, ETA=2115s
[Score] 219200/1270238 (17.3%) speed=499 samples/s, ETA=2105s
[Score] 220800/1270238 (17.4%) speed=501 samples/s, ETA=2095s
[Score] 222400/1270238 (17.5%) speed=502 samples/s, ETA=2086s
[Score] 224000/1270238 (17.6%) speed=504 samples/s, ETA=2077s
[Score] 225600/1270238 (17.8%) speed=505 samples/s, ETA=2067s
[Score] 227200/1270238 (17.9%) speed=507 samples/s, ETA=2059s
[Score] 228800/1270238 (18.0%) speed=508 samples/s, ETA=2051s
[Score] 230400/1270238 (18.1%) speed=509 samples/s, ETA=2042s
[Score] 232000/1270238 (18.3%) speed=511 samples/s, ETA=2033s
[Score] 233600/1270238 (18.4%) speed=512 samples/s, ETA=2024s
[Score] 235200/1270238 (18.5%) speed=514 samples/s, ETA=2015s
[Score] 236800/1270238 (18.6%) speed=515 samples/s, ETA=2006s
[Score] 238400/1270238 (18.8%) speed=517 samples/s, ETA=1997s
[Score] 240000/1270238 (18.9%) speed=518 samples/s, ETA=1988s
[Score] 241600/1270238 (19.0%) speed=520 samples/s, ETA=1980s
[Score] 243200/1270238 (19.1%) speed=521 samples/s, ETA=1972s
[Score] 244800/1270238 (19.3%) speed=522 samples/s, ETA=1963s
[Score] 246400/1270238 (19.4%) speed=524 samples/s, ETA=1955s
[Score] 248000/1270238 (19.5%) speed=525 samples/s, ETA=1946s
[Score] 249600/1270238 (19.6%) speed=527 samples/s, ETA=1938s
[Score] 251200/1270238 (19.8%) speed=528 samples/s, ETA=1930s
[Score] 252800/1270238 (19.9%) speed=529 samples/s, ETA=1922s
[Score] 254400/1270238 (20.0%) speed=531 samples/s, ETA=1915s
[Score] 256000/1270238 (20.2%) speed=532 samples/s, ETA=1907s
[Score] 257600/1270238 (20.3%) speed=533 samples/s, ETA=1899s
[Score] 259200/1270238 (20.4%) speed=535 samples/s, ETA=1891s
[Score] 260800/1270238 (20.5%) speed=536 samples/s, ETA=1883s
[Score] 262400/1270238 (20.7%) speed=537 samples/s, ETA=1876s
[Score] 264000/1270238 (20.8%) speed=539 samples/s, ETA=1869s
[Score] 265600/1270238 (20.9%) speed=540 samples/s, ETA=1861s
[Score] 267200/1270238 (21.0%) speed=541 samples/s, ETA=1854s
[Score] 268800/1270238 (21.2%) speed=542 samples/s, ETA=1847s
[Score] 270400/1270238 (21.3%) speed=544 samples/s, ETA=1840s
[Score] 272000/1270238 (21.4%) speed=545 samples/s, ETA=1833s
[Score] 273600/1270238 (21.5%) speed=546 samples/s, ETA=1826s
[Score] 275200/1270238 (21.7%) speed=547 samples/s, ETA=1819s
[Score] 276800/1270238 (21.8%) speed=548 samples/s, ETA=1812s
[Score] 278400/1270238 (21.9%) speed=549 samples/s, ETA=1806s
[Score] 280000/1270238 (22.0%) speed=550 samples/s, ETA=1799s
[Score] 281600/1270238 (22.2%) speed=552 samples/s, ETA=1792s
[Score] 283200/1270238 (22.3%) speed=553 samples/s, ETA=1786s
[Score] 284800/1270238 (22.4%) speed=554 samples/s, ETA=1780s
[Score] 286400/1270238 (22.5%) speed=554 samples/s, ETA=1775s
[Score] 288000/1270238 (22.7%) speed=555 samples/s, ETA=1771s
[Score] 289600/1270238 (22.8%) speed=555 samples/s, ETA=1766s
[Score] 291200/1270238 (22.9%) speed=555 samples/s, ETA=1763s
[Score] 292800/1270238 (23.1%) speed=555 samples/s, ETA=1760s
[Score] 294400/1270238 (23.2%) speed=555 samples/s, ETA=1757s
[Score] 296000/1270238 (23.3%) speed=557 samples/s, ETA=1750s
[Score] 297600/1270238 (23.4%) speed=558 samples/s, ETA=1743s
[Score] 299200/1270238 (23.6%) speed=559 samples/s, ETA=1736s
[Score] 300800/1270238 (23.7%) speed=561 samples/s, ETA=1729s
[Score] 302400/1270238 (23.8%) speed=562 samples/s, ETA=1723s
[Score] 304000/1270238 (23.9%) speed=562 samples/s, ETA=1720s
[Score] 305600/1270238 (24.1%) speed=563 samples/s, ETA=1712s
[Score] 307200/1270238 (24.2%) speed=565 samples/s, ETA=1704s
[Score] 308800/1270238 (24.3%) speed=566 samples/s, ETA=1699s
[Score] 310400/1270238 (24.4%) speed=567 samples/s, ETA=1693s
[Score] 312000/1270238 (24.6%) speed=568 samples/s, ETA=1688s
[Score] 313600/1270238 (24.7%) speed=569 samples/s, ETA=1682s
[Score] 315200/1270238 (24.8%) speed=570 samples/s, ETA=1676s
[Score] 316800/1270238 (24.9%) speed=571 samples/s, ETA=1671s
[Score] 318400/1270238 (25.1%) speed=572 samples/s, ETA=1665s
[Score] 320000/1270238 (25.2%) speed=573 samples/s, ETA=1660s
[Score] 321600/1270238 (25.3%) speed=574 samples/s, ETA=1654s
[Score] 323200/1270238 (25.4%) speed=575 samples/s, ETA=1648s
[Score] 324800/1270238 (25.6%) speed=575 samples/s, ETA=1643s
[Score] 326400/1270238 (25.7%) speed=576 samples/s, ETA=1637s
[Score] 328000/1270238 (25.8%) speed=577 samples/s, ETA=1632s
[Score] 329600/1270238 (25.9%) speed=578 samples/s, ETA=1626s
[Score] 331200/1270238 (26.1%) speed=579 samples/s, ETA=1621s
[Score] 332800/1270238 (26.2%) speed=580 samples/s, ETA=1616s
[Score] 334400/1270238 (26.3%) speed=581 samples/s, ETA=1610s
[Score] 336000/1270238 (26.5%) speed=582 samples/s, ETA=1605s
[Score] 337600/1270238 (26.6%) speed=583 samples/s, ETA=1599s
[Score] 339200/1270238 (26.7%) speed=584 samples/s, ETA=1594s
[Score] 340800/1270238 (26.8%) speed=585 samples/s, ETA=1589s
[Score] 342400/1270238 (27.0%) speed=586 samples/s, ETA=1584s
[Score] 344000/1270238 (27.1%) speed=587 samples/s, ETA=1579s
[Score] 345600/1270238 (27.2%) speed=588 samples/s, ETA=1574s
[Score] 347200/1270238 (27.3%) speed=589 samples/s, ETA=1568s
[Score] 348800/1270238 (27.5%) speed=589 samples/s, ETA=1563s
[Score] 350400/1270238 (27.6%) speed=590 samples/s, ETA=1558s
[Score] 352000/1270238 (27.7%) speed=591 samples/s, ETA=1553s
[Score] 353600/1270238 (27.8%) speed=592 samples/s, ETA=1548s
[Score] 355200/1270238 (28.0%) speed=593 samples/s, ETA=1543s
[Score] 356800/1270238 (28.1%) speed=594 samples/s, ETA=1538s
[Score] 358400/1270238 (28.2%) speed=595 samples/s, ETA=1533s
[Score] 360000/1270238 (28.3%) speed=595 samples/s, ETA=1530s
[Score] 361600/1270238 (28.5%) speed=595 samples/s, ETA=1526s
[Score] 363200/1270238 (28.6%) speed=596 samples/s, ETA=1523s
[Score] 364800/1270238 (28.7%) speed=596 samples/s, ETA=1520s
[Score] 366400/1270238 (28.8%) speed=596 samples/s, ETA=1516s
[Score] 368000/1270238 (29.0%) speed=596 samples/s, ETA=1513s
[Score] 369600/1270238 (29.1%) speed=597 samples/s, ETA=1509s
[Score] 371200/1270238 (29.2%) speed=597 samples/s, ETA=1506s
[Score] 372800/1270238 (29.3%) speed=598 samples/s, ETA=1501s
[Score] 374400/1270238 (29.5%) speed=599 samples/s, ETA=1495s
[Score] 376000/1270238 (29.6%) speed=600 samples/s, ETA=1491s
[Score] 377600/1270238 (29.7%) speed=601 samples/s, ETA=1486s
[Score] 379200/1270238 (29.9%) speed=601 samples/s, ETA=1482s
[Score] 380800/1270238 (30.0%) speed=602 samples/s, ETA=1477s
[Score] 382400/1270238 (30.1%) speed=603 samples/s, ETA=1472s
[Score] 384000/1270238 (30.2%) speed=604 samples/s, ETA=1468s
[Score] 385600/1270238 (30.4%) speed=605 samples/s, ETA=1463s
[Score] 387200/1270238 (30.5%) speed=606 samples/s, ETA=1458s
[Score] 388800/1270238 (30.6%) speed=606 samples/s, ETA=1454s
[Score] 390400/1270238 (30.7%) speed=607 samples/s, ETA=1449s
[Score] 392000/1270238 (30.9%) speed=608 samples/s, ETA=1445s
[Score] 393600/1270238 (31.0%) speed=609 samples/s, ETA=1440s
[Score] 395200/1270238 (31.1%) speed=609 samples/s, ETA=1436s
[Score] 396800/1270238 (31.2%) speed=610 samples/s, ETA=1431s
[Score] 398400/1270238 (31.4%) speed=611 samples/s, ETA=1427s
[Score] 400000/1270238 (31.5%) speed=612 samples/s, ETA=1422s
[Score] 401600/1270238 (31.6%) speed=612 samples/s, ETA=1418s
[Score] 403200/1270238 (31.7%) speed=613 samples/s, ETA=1414s
[Score] 404800/1270238 (31.9%) speed=614 samples/s, ETA=1409s
[Score] 406400/1270238 (32.0%) speed=615 samples/s, ETA=1405s
[Score] 408000/1270238 (32.1%) speed=616 samples/s, ETA=1401s
[Score] 409600/1270238 (32.2%) speed=616 samples/s, ETA=1396s
[Score] 411200/1270238 (32.4%) speed=617 samples/s, ETA=1392s
[Score] 412800/1270238 (32.5%) speed=618 samples/s, ETA=1388s
[Score] 414400/1270238 (32.6%) speed=619 samples/s, ETA=1383s
[Score] 416000/1270238 (32.7%) speed=619 samples/s, ETA=1379s
[Score] 417600/1270238 (32.9%) speed=620 samples/s, ETA=1375s
[Score] 419200/1270238 (33.0%) speed=621 samples/s, ETA=1371s
[Score] 420800/1270238 (33.1%) speed=622 samples/s, ETA=1367s
[Score] 422400/1270238 (33.3%) speed=622 samples/s, ETA=1362s
[Score] 424000/1270238 (33.4%) speed=623 samples/s, ETA=1358s
[Score] 425600/1270238 (33.5%) speed=624 samples/s, ETA=1354s
[Score] 427200/1270238 (33.6%) speed=625 samples/s, ETA=1350s
[Score] 428800/1270238 (33.8%) speed=625 samples/s, ETA=1346s
[Score] 430400/1270238 (33.9%) speed=626 samples/s, ETA=1342s
[Score] 432000/1270238 (34.0%) speed=627 samples/s, ETA=1338s
[Score] 433600/1270238 (34.1%) speed=627 samples/s, ETA=1334s
